word,coefficient
ignorant,0.9125176809134447
unnecessary,0.9124237182344709
script,0.9106311594049319
don,0.9105280868826814
cage,0.9101038573607957
average,0.9089604510354863
crab,0.9075706740374555
wounded,0.9070228197469774
spread,0.9058579175556657
emotional,0.9057362771677763
wouldn,0.9056684388417672
charged,0.9053641112833167
acts,0.902906521395893
joke,0.9012972543687666
accountable,0.8980507831526673
narcissism,0.8978585644553171
issue,0.8946597654273686
breaking,0.8930844553384527
bye,0.891690388525815
schizophrenia,0.8915851092184045
away,0.8913860131570175
blamed,0.8910639004237909
kids,0.8894822209107687
nasty,0.88814682877352
smth,0.8876669602586348
disrespect,0.8871420992727522
extremely,0.8868164830441431
actual,0.8866173331542073
mental,0.8848085976387958
investigate,0.8841762679516912
cheating,0.8833421819838728
madness,0.8825707413705405
embarrassed,0.8825068832752488
cette,0.8823703274361857
dying,0.8812431975276969
apologize,0.8806210819089656
struggling,0.8803639349496845
arrogant,0.8796813839034839
mention,0.8791929788865939
narc,0.8779527937705147
happened,0.8779288912879046
una,0.8775568507584345
bed,0.8775529607891605
lately,0.8772234771465407
hurtful,0.8771931893867009
beware,0.8761842019120124
plain,0.8760659971604634
sh,0.87285407994413
wish,0.8723163374320729
al,0.8716619642754388
flawed,0.8706005449096171
long,0.8700546460251087
dictators,0.8694125814414924
behavior,0.8663507967085536
idea,0.865456944263527
humanity,0.8633182797709903
solutions,0.8633004335991465
af,0.8609425583636056
esteem,0.8600266128346926
evacuation,0.8594923285604118
timed,0.8594575809138942
unacceptable,0.8586755579803923
outta,0.8568995294700836
weak,0.8567893517968338
fate,0.8563243625050581
doctors,0.8561689135462807
complain,0.8561244404165871
justice,0.8543749046092258
chopped,0.8520454690053015
concerning,0.8493077440903885
did,0.8470530379991602
confusion,0.8454291752279182
online,0.8441970670900287
ffs,0.844099740194628
covid,0.8437086512105398
quickly,0.8431478522207937
arent,0.843001334972509
trouble,0.8423950174426829
2nd,0.8421447249682475
breakdown,0.8419311725652842
gross,0.8414011236990327
bothers,0.8385346907718682
jfc,0.8385109830208751
competition,0.8377570603795592
depressed,0.8370783934246675
wins,0.8346209424919432
getting,0.8343638782478717
showing,0.8339074267626684
injury,0.8330725347537509
headed,0.8313814250481835
ashamed,0.8308663080363538
therapy,0.8293993210522236
crooked,0.8284267966139326
sacrificing,0.8278802499116926
stubborn,0.8275960901298473
psych,0.8275005902688892
kody,0.8271141359892964
bombs,0.8270462684670851
potential,0.8268606933484672
ran,0.8254443838545419
flammable,0.8246903631826155
effing,0.8224480076152246
increasing,0.8216050568932345
steal,0.8211623679644529
loners,0.820332847643907
disproportionate,0.8194035386349585
cope,0.8180721651099659
bot,0.8174886256026273
signing,0.8160947839231453
laws,0.8155315063492313
saying,0.8135521721125041
death,0.8123486812247018
enforcement,0.8123042910667173
cognitive,0.8118006597296691
world,0.8083177329740749
emotionally,0.8078229745040965
causes,0.8073295952587904
questioned,0.807116824132969
swear,0.8067435362023063
dominant,0.8067214511731758
unable,0.8065027013096945
ideology,0.8062723774527174
meth,0.8062103595154978
non,0.8057097034020807
attacked,0.8053930629433548
illegal,0.8049383246399594
paid,0.8041298995588942
absorbed,0.8025616898852921
gays,0.8024416727448368
conditioned,0.8018526845284509
excuse,0.8017062039365268
question,0.8015568057627691
dissociation,0.8008684397041503
disheartening,0.7999425603734829
arrogance,0.7984388192351926
scare,0.7981321003709125
contact,0.7972497007462935
wasting,0.7964398292313897
investigated,0.7963891414583779
taiwan,0.7950908080505485
english,0.7948168088923414
hnwsbqbspmm,0.7938547406696551
fills,0.7920005486800735
joking,0.7919678954791453
blocking,0.7919663149514488
charlie,0.7915841739621
yrs,0.7912304584996664
allowing,0.7898539876520395
agents,0.7895599681975408
insufferable,0.7894729600470917
accountability,0.7887905959834826
complaining,0.7884151050896638
political,0.7879801454851112
superficial,0.7874052997949307
aftermath,0.7858502316969389
cheats,0.7852438810746469
misogynistic,0.7844822327791983
narcs,0.7839900327840957
called,0.7829780578697385
criticism,0.7828819490265088
aren,0.7823837858575547
saddest,0.7809311664004045
pathological,0.7808430545481406
mass,0.7808329643654762
inexperienced,0.780731409229341
mistakes,0.7806286939385445
